,date,msg,year,month,days,Month_Name,Day_Name,date_is_weekend
211,2013-02-24 01:46:00,парни звоните девочка скучает,2013,24,February,February,Sunday,weekend
212,2012-05-03 00:22:00,м.35 хочу д/ж.можно замужнюю  жду Смс перезвоню завтра 096 829 1464,2012,3,May,May,Thursday,weekday
213,2016-12-09 23:20:00,Dlj vzrosloi D. 067 148 98 58.,2016,9,December,December,Friday,weekday
214,2012-01-15 01:37:00,М 39Л ИЩЕТ МОЛ.СЕМ.ПАРУ ИЛИ 2 ДЕВ ДЛЯ И/О.СМС ММС 0985668930,2012,15,January,January,Sunday,weekend
215,2016-04-10 23:39:00,Познакомлюсь с парнем 20 лет мне 18. буду нежной и ласковой,2016,10,April,April,Sunday,weekend
216,2013-01-20 23:29:00,Д 35/176 ищу свободн мужское сердце для с/о М 38-43 Днепр0975080713,2013,20,January,January,Sunday,weekend
217,2015-05-24 01:59:00,Привіт зва.Ігор097951 3825дівчата шукаю кохання цьом:-):-):-):-),2015,24,May,May,Sunday,weekend
218,2013-01-23 23:24:00,м 44 ищет друга до 50л для встреч с местом из днепра 0939208498,2013,23,January,January,Wednesday,weekday
219,2014-04-20 01:03:00,ХРИСТОС ВОСКРЕС Х- 23 КОМПОТУ! модер поставь гуф- легко ли быть молодым. От Димона!,2014,20,April,April,Sunday,weekend
220,2012-08-12 01:29:00,. Мне 36. Поцелую женщину 50-55лет. Жду смс!! Днепр!! 0962820419.,2012,12,August,August,Sunday,weekend
221,2016-07-04 00:11:00,Хочу пообщаться на интеесные темы с парнем   сначала смс  адм задержи,2016,4,July,July,Monday,weekday
222,2016-06-20 22:41:00,.СИНЕЛЬНИКОВО ЕСТЬ?Я.М42Л.0939430346,2016,20,June,June,Monday,weekday
223,2013-10-28 23:21:00,М 40  познакомлю Д со своим другом(30см),2013,28,October,October,Monday,weekday
224,2014-11-17 22:50:00,ДНEПР и ОБЛ.М ПОЗ С Д/Ж МОЖНО ЗАМУЖНЕЙ МАТ.ПОМ.0990259425.ПЕРЕЗВОНЮ.,2014,17,November,November,Monday,weekday
225,2013-10-10 00:55:00,Валерий и Тамара,2013,10,October,October,Thursday,weekday
226,2014-01-14 00:27:00,Познакомлюсь с парнем  для легких отношений(хорошо танцую) Вика,2014,14,January,January,Tuesday,weekday
227,2014-03-20 23:28:00,:)Я девушка ищу парня от 25 до 33 зв 0988083234,2014,20,March,March,Thursday,weekday
228,2013-11-01 23:36:00,ПРИЕДУ В ГОСТИ К ЖЕНЩИНЕ СЕЙЧАС. Днепр. 063 417 49 43,2013,1,November,November,Friday,weekday
229,2013-03-26 00:34:00,Артур!!! Хватит быть далеко :*,2013,26,March,March,Tuesday,weekday
230,2015-11-24 00:54:00,Ж.ищет М.30-40лет для реализации своих фантазий. 09953,2015,24,November,November,Tuesday,weekday
231,2013-05-29 02:00:00,п+п0964125953,2013,29,May,May,Wednesday,weekday
232,2014-05-14 00:29:00,одинокая женщина ищет тепло и любовь.если есть в чате одинок м  отзовитесь ГАЛИНА,2014,14,May,May,Wednesday,weekday
233,2014-06-06 23:15:00,П 30 ХОЛОСТЯК ПРИГЛАСИТ ДЕВУШКУ В ГОСТИ  ДНЕПРОДЫМ  0677884467,2014,6,June,June,Friday,weekday
234,2013-11-06 01:04:00,М поз.с Д/Ж 093 67 82 850,2013,6,November,November,Wednesday,weekday
235,2013-12-06 00:58:00,Одинокий М купил квартиру в центре кто на навоселье?,2013,6,December,December,Friday,weekday
236,2012-06-22 00:48:00,Неужели все симпатичные  классные девушки спят??? 096 310 62 45,2012,22,June,June,Friday,weekday
237,2012-05-21 00:49:00,незамороченный Парень приедет сейчас к пАрням(ю) 063.37..35...779,2012,21,May,May,Monday,weekday
238,2016-12-23 23:22:00,М 48 вменяем..ищит нежную Жен для и/о.050 6959 040 смс,2016,23,December,December,Friday,weekday
239,2013-02-09 00:50:00,м.36 ищу для Ж.  0671459190,2013,9,February,February,Saturday,weekend
240,2015-11-29 00:34:00,М40 для взрослой дамы на авто .не пожалеете конф.безоп.гарант. 0985162909,2015,29,November,November,Sunday,weekend
241,2015-05-31 00:16:00,Я 31 160 54  ищу хорошую девушку без детей 0687305161,2015,31,May,May,Sunday,weekend
242,2012-05-21 00:35:00,П23г ИЩУ ДОБРУЮ ЛЮБИМУЮ ДЕВ 18-30Л ХОЧУ  ЛАСКИ И НЕЖНОСТИ 0957767347,2012,21,May,May,Monday,weekday
243,2013-12-02 00:35:00,Капитанская дочка ищет парня,2013,2,December,December,Monday,weekday
244,2015-07-04 00:54:00,муж поз с дев для ин от 066 625 21 85 днепр,2015,4,July,July,Saturday,weekend
245,2013-01-16 00:57:00,СИМП. П. 27 ХОЧУ В ГОСТИ ДЕВУШКЕ СЕЙЧАС :),2013,16,January,January,Wednesday,weekday
246,2015-11-11 00:50:00,М+М .днепр. пиши 093 014 76  52,2015,11,November,November,Wednesday,weekday
247,2014-05-09 23:56:00,если есть нормальные адекватные девушки буду рад знакомству...,2014,9,May,May,Friday,weekday
248,2014-07-02 23:42:00,познакомлюсь с девушкой звоните,2014,2,July,July,Wednesday,weekday
249,2015-08-22 00:18:00,Мужчина 45позн.с жен.для всего 0663602003,2015,22,August,August,Saturday,weekend
250,2016-01-17 00:51:00,Сам в гостинице.скучно.27 киев.0937544418,2016,17,January,January,Sunday,weekend
251,2015-02-22 00:22:00,кто утешит девушку??? парни дайте номерок перезвоню),2015,22,February,February,Sunday,weekend
252,2016-02-24 00:55:00,мущина    сделает  д    ж   масаж    везде   0973248009,2016,24,February,February,Wednesday,weekday
253,2016-11-24 23:28:00,Днепр П29 на авто скучает дев21-27 и нти ма сейчас  смс  ммс 0999435062,2016,24,November,November,Thursday,weekday
254,2016-03-01 23:52:00,любовник ищет красивую любовницу..Днепр. 0954611312,2016,1,March,March,Tuesday,weekday
255,2012-11-21 01:53:00,парень 34 женат ***** отн с д/ж смс ммс 0672692739,2012,21,November,November,Wednesday,weekday
256,2015-08-13 23:18:00,КОМУ НЕСПИТСЯ ЖЕНЩ ЗА 65. 150. 85. ПРИГЛАСИТ НА ЧАШКУ КАВЫ,2015,13,August,August,Thursday,weekday
257,2015-08-06 00:44:00,ищу  с пару  для интима 0978568334,2015,6,August,August,Thursday,weekday
258,2015-08-05 23:20:00,В чате есть полненькие женщины которым хочется? Приеду в гости на чай.Днепр. 095 750 2227,2015,5,August,August,Wednesday,weekday
259,2012-04-29 23:25:00,БУДУ ХОРОШИМ   МУЖЕМ ДОБРОЙ ВЕРНОЙ СЕЛЬСЬКОЙ ДЕВУШКЕ 096 690 38 61,2012,29,April,April,Sunday,weekend
260,2016-02-04 01:22:00,я парень 380960760341,2016,4,February,February,Thursday,weekday
261,2016-02-25 22:36:00,П.23. Познакомлюсь с девушкой для с/о. 0932423381,2016,25,February,February,Thursday,weekday
262,2013-05-18 00:40:00,Познакомлюсь с симпатичной взрослой девушкой,2013,18,May,May,Saturday,weekend
263,2014-05-15 22:35:00,блондиночка ищет парнишу для встреч  09847234,2014,15,May,May,Thursday,weekday
264,2013-03-20 00:05:00,М познакомится с . П  худощавым. Только  СМС   095 483 57 53,2013,20,March,March,Wednesday,weekday
265,2013-06-04 01:54:00,Кому массажик в ванной. Кристи,2013,4,June,June,Tuesday,weekday
266,2014-10-13 00:33:00,прокачусь на машинке. сейчас. красотка Надя,2014,13,October,October,Monday,weekday
267,2016-12-18 23:01:00,две девушки пригласят курьера с пицеей и с продолжением.,2016,18,December,December,Sunday,weekend
268,2013-10-16 00:35:00,я пар. мне 18 ищу девушку,2013,16,October,October,Wednesday,weekday
269,2014-07-06 00:03:00,п 30 поз с дев до 45 для встречи сейчас 0965247633,2014,6,July,July,Sunday,weekend
270,2016-08-14 23:02:00,ДЕВ ЖЕН НЕХО ВСТРЕЧ ЗВОН ХОТЬ ПОГОВОРИМ! 096 182 24 78,2016,14,August,August,Sunday,weekend
271,2014-08-12 00:58:00,парни пригашаю в гости самого смуглого и светлоглазого.,2014,12,August,August,Tuesday,weekday
272,2015-04-16 22:40:00,Для Оли которая ищет  М. 37 тел.067 937 96 00,2015,16,April,April,Thursday,weekday
273,2012-03-08 02:07:00,познакомлюсь с дев. для общения Денис 0661224514,2012,8,March,March,Thursday,weekday
274,2013-04-07 01:22:00,Познакомлюсь с парнем до 40! Инна 20,2013,7,April,April,Sunday,weekend
275,2014-10-21 00:12:00,Познакомлюсь с парнем в возрасте 21-40 лет. Julia 24 года,2014,21,October,October,Tuesday,weekday
276,2012-02-05 23:44:00,заут вова хачу пазнакомица здевушкой мне 20 ср от 0997551400,2012,5,February,February,Sunday,weekend
277,2013-11-21 23:01:00,женатый м.41.177.позн.для разн.отн.с дев.-ж.35-45л.есть мтс лайф.перезв.0980408901,2013,21,November,November,Thursday,weekday
278,2012-04-26 23:40:00,красивый парень с крепким телом позн с ДЕВУШКОЙ 093 856 86 88,2012,26,April,April,Thursday,weekday
279,2013-03-17 01:43:00,тратить,2013,17,March,March,Sunday,weekend
280,2015-01-02 00:40:00,ХОРОШИЙ ПАРЕНЬ ХОЧЕТ С ДЕВУШКОЙ СЕЙЧАС 095 689 70 25 ПРИД ПОЖАЛ,2015,2,January,January,Friday,weekday
281,2014-11-06 22:44:00,Нюта привет поставь 029,2014,6,November,November,Thursday,weekday
282,2012-09-07 01:04:00,девушки  кому щас делать нечего  пишите.063 945 21 62,2012,7,September,September,Friday,weekday
283,2014-02-16 00:25:00,Алена 22 познакомлюся с приятным парнем для общения,2014,16,February,February,Sunday,weekend
284,2014-11-24 00:08:00,Девушка симпатичная стройная с хорошим характером в быту с плохим в постели.Ищу парня который оценит.Анастасия  28 лет.,2014,24,November,November,Monday,weekday
285,2012-01-15 01:09:00,=МYЖ 35=П0ZНАК0МЛЮСЬ С МИL0Й ДЕВ.ЖЕН.ДРУЖБА 0БЩЕНИЯ 095 77 35 690,2012,15,January,January,Sunday,weekend
286,2015-09-25 01:13:00,ИЩУ ДОБРУЮ НЕЖНУЮ И МИЛУЮ ЖЕНЩИНУ ДЛЯ ОБЩЕНИЯ 0663100711 МЛС,2015,25,September,September,Friday,weekday
287,2012-08-31 00:56:00,.парень 22лет. Ищу нормальную девушку.0631162584.,2012,31,August,August,Friday,weekday
288,2012-02-03 00:26:00,М встретится с другом..Только звонки 0671732440,2012,3,February,February,Friday,weekday
289,2013-02-12 00:44:00,Щедрый М ищу хорош.любовь худ.Д до 40.,2013,12,February,February,Tuesday,weekday
290,2013-07-24 01:23:00,м50позн.своб.строй.д.ж.от43для встреч днепр 095.216.95.79смс,2013,24,July,July,Wednesday,weekday
291,2013-05-21 00:46:00,БОЛЬШОЙ РАЗМЕР ДЛЯ ДЕВУШКИ  СЕЙЧАС! 0505546534,2013,21,May,May,Tuesday,weekday
292,2012-12-03 23:20:00,парень 26л познакомимся с приятной весёлой девчонкой для сер/отн 0631088997 смс ммс есть диджус задержи,2012,3,December,December,Monday,weekday
293,2012-03-27 01:24:00,Ищу симпатичного мужчину для с/о!!!0976859435,2012,27,March,March,Tuesday,weekday
294,2013-09-02 00:55:00,ДН - ЖИНСК п+п. ммс. 093 063 00 32,2013,2,September,September,Monday,weekday
295,2013-01-04 01:45:00,ПООБЩАЮСЬ С ДЕВУШКОЙ.063 413 86 95.ЗАДЕРЖИ. ...,2013,4,January,January,Friday,weekday
296,2013-07-23 23:39:00,Элина хочет просто парня можно с деревни только не пьющего,2013,23,July,July,Tuesday,weekday
297,2015-09-21 01:13:00,ж36л ищу надёжно го зрелого мозгами М. Возможны с/о с/с  аль фонсам.млс- нет тел. в чат Вита умею ценить отношения,2015,21,September,September,Monday,weekday
298,2015-04-17 01:39:00,мне нравится ваш чат - здесь все такие классные и умные,2015,17,April,April,Friday,weekday
299,2012-04-03 23:48:00,Джони ! Жду СМС от дамы  35-47 лет  066-42-42-430.,2012,3,April,April,Tuesday,weekday
300,2014-08-28 00:16:00,МУЖЧИНА ПОЗНАКОМИТСЯ С ЖЕНЩИНОЙ 34-42 ДЛЯ И.О. 0971494502,2014,28,August,August,Thursday,weekday
301,2014-08-05 01:16:00,. Мне 38. Поцелую женщине 50-55лет. Жду смс фото! Днепр!! 0931474691,2014,5,August,August,Tuesday,weekday
302,2016-10-09 01:03:00,Одинокий мужчина в самом соку ищет одинокую Ж до 37л для с/о. Запорожье. Снач СМС/ММС,2016,9,October,October,Sunday,weekend
303,2013-07-28 00:35:00,м37жен ищю любовницу  Запорожьэ0968673122,2013,28,July,July,Sunday,weekend
304,2012-07-08 00:49:00,ПАРЕНЬ ИЩЕТ ДРУГА  .СЕЙЧАС.ДНЕПРОДЗЕРЖИНСК.ММS.0930713921.,2012,8,July,July,Sunday,weekend
305,2015-01-16 01:37:00,Саша прости меня! я хочу вернуться к тебе! приймеш? Настя,2015,16,January,January,Friday,weekday
306,2015-04-17 00:57:00,Молодая и свободная. Ищу мужчину для отношений по пятницам. Валя,2015,17,April,April,Friday,weekday
307,2014-07-27 23:23:00,ищу д для любви и отношений.Андрей,2014,27,July,July,Sunday,weekend
308,2013-06-05 00:28:00,Парни - заедим 0957640870,2013,5,June,June,Wednesday,weekday
309,2013-01-26 00:34:00,ПАР ИЩ ДЕВУШ ДЛЯ НЕЧ ВСТРЕЧь 0979038911 ДНЕПР ОБ  ММС,2013,26,January,January,Saturday,weekend
310,2012-09-24 23:49:00,парень 29 ищет девушку 0931035091 днепродзержинск,2012,24,September,September,Monday,weekday
311,2012-02-19 23:18:00,хочу поговор.с симп.парн.0935044828,2012,19,February,February,Sunday,weekend
312,2012-01-19 23:41:00,М 40. Познк. с жен. из Днепро-вска  с/о. 063-709-57-55,2012,19,January,January,Thursday,weekday
313,2012-05-02 00:25:00,Симпатичный парень 22 ищет нескромную милашку 8063 3424 705,2012,2,May,May,Wednesday,weekday
314,2013-01-05 00:11:00,людмила,2013,5,January,January,Saturday,weekend
315,2015-07-17 01:14:00,ж36л ищу надёжно го зрелого мозгами М. Возможны с/о с/с  аль фонсам.млс- нет тел. в чат Вита умею ценить отношения,2015,17,July,July,Friday,weekday
316,2012-07-13 23:39:00,Классный парень ищет замечательную девушку! 093 428 41 47,2012,13,July,July,Friday,weekday
317,2013-10-13 00:00:00,щедр  красив  умен и богат  на своем авто! Нужна дама для приятных встречНИКОЛАЙ,2013,13,October,October,Sunday,weekend
318,2012-09-17 01:53:00,парень ищит мужчину 063 104 96 55,2012,17,September,September,Monday,weekday
319,2015-01-30 22:50:00,парень познакомится с девушкой для с.о дети не памеха 0930727727,2015,30,January,January,Friday,weekday
320,2014-05-08 00:53:00,девушки пишите парень скучает 069469,2014,8,May,May,Thursday,weekday
321,2012-10-09 01:28:00,ИЩУ ДЕВУШКУ БЕЗ КОМПЛЕКСОВ ДЛЯ ВСТРЕЧ 0970028020,2012,9,October,October,Tuesday,weekday
322,2012-06-06 01:58:00,Нежный м 35 поцелует ножки красивой д  0500642877 Днепр,2012,6,June,June,Wednesday,weekday
323,2015-03-17 22:58:00,Симп. парень поцелует симп. ПЫШЕЧКУ... Сейчас. 068 176 222 8.,2015,17,March,March,Tuesday,weekday
324,2015-11-29 00:51:00,Познакомлюсь с парнем мне 21..0988595282,2015,29,November,November,Sunday,weekend
325,2013-11-20 23:40:00,у+нас+нету+мужиков?! дашка. поставте+даше. крошка+моя. рукки+верх. спасибо,2013,20,November,November,Wednesday,weekday
326,2014-08-31 22:35:00,красивий парень ищит девушку для ср от з дн  мне 22 саша! 0634591938,2014,31,August,August,Sunday,weekend
327,2014-12-22 01:24:00,п34 192 85 позн с одной единственой для сер отн 0992987326,2014,22,December,December,Monday,weekday
328,2014-11-01 23:05:00,Реально хочу дев.женщ.сейчас не стесняйтесь! 095 149 12 29 реально,2014,1,November,November,Saturday,weekend
329,2014-04-23 00:58:00,Познакомлюсь с девушкой 050 992 99 08,2014,23,April,April,Wednesday,weekday
330,2015-09-15 00:01:00,Парень ищет сейчас пышную жен для и/о 067 269 24,2015,15,September,September,Tuesday,weekday
331,2013-11-06 00:54:00,М.44 позн. с дев. для отн.  отблаг. 0635893025,2013,6,November,November,Wednesday,weekday
332,2012-11-20 00:57:00,настя саша,2012,20,November,November,Tuesday,weekday
333,2012-05-10 00:23:00,П27л. Поз с Сим Девушкой для отдыха в Египте ММС 0975266361,2012,10,May,May,Thursday,weekday
334,2013-04-01 01:12:00,жду тебя   любимая,2013,1,April,April,Monday,weekday
335,2012-04-10 02:05:00,п 30 ищу люб-у до 30 днепродзержинск 0968287846 перезвоню,2012,10,April,April,Tuesday,weekday
336,2013-06-15 00:52:00,ПАРЕНЬ ИЩЕТ ДЕВУШКУ  ДЛЯ ОБЩЕНИЯ,2013,15,June,June,Saturday,weekend
337,2016-04-11 01:34:00,М.ХОЧУ ЩЕДРО!ЛЮБИТЬ ГОСПОЖУ!БЕЗ КОМПЛЕКС.:),2016,11,April,April,Monday,weekday
338,2012-01-13 00:39:00,девачки паринь ишит бландинку 25 30 лет для брака 0992569845 при,2012,13,January,January,Friday,weekday
339,2013-07-16 01:51:00,красивая Д ищет умного М,2013,16,July,July,Tuesday,weekday
340,2014-05-26 23:22:00,ОДИНОКИЙ П27л ИЩУ ДЕВ 27-39Л ДЛЯ ОБЩ И ОТНОШЕНИЙ 0957767347,2014,26,May,May,Monday,weekday
341,2012-07-12 00:16:00,перезвоню девушке 0930186178,2012,12,July,July,Thursday,weekday
342,2013-11-18 23:13:00,М 30 женат ищу Д до 25 для ио Валерий,2013,18,November,November,Monday,weekday
343,2013-12-05 23:33:00,Мужчина на престижном авто  ищет женщину для встреч!красив  богат,2013,5,December,December,Thursday,weekday
344,2013-07-27 00:34:00,привет! Блондинка! Глоза голубые. Рост метр семдесять семь. Грудь третьего размера. 19 лет. Познакомлюсь с парнем до 25. 0662,2013,27,July,July,Saturday,weekend
345,2014-06-15 00:40:00,леночка звони на номер  0988129067,2014,15,June,June,Sunday,weekend
346,2015-12-11 23:29:00,М для М.093 051 93 12.смс.,2015,11,December,December,Friday,weekday
347,2012-03-21 01:42:00,Девушки   вы где. давайте общаться через чат,2012,21,March,March,Wednesday,weekday
348,2015-03-15 00:38:00,ищу уникальную   симпатичную девушку от 25лет 0632469260 придержи,2015,15,March,March,Sunday,weekend
349,2013-04-20 00:12:00,симпатичный парень 23 ищет нескромну милашку 8093 2013 324,2013,20,April,April,Saturday,weekend
350,2016-04-02 23:05:00,сем.пара 33и 28позн. С сем. Парой.или с девушкой.есть авто.Днепр.0681705017,2016,2,April,April,Saturday,weekend
351,2013-12-07 23:06:00,М38.175.75Ищу дев.для неч.вст.отвечу на фото и смс 0961902183 Днепр,2013,7,December,December,Saturday,weekend
352,2014-11-02 00:18:00,Машенька  ты самая лучшая на свете!! Я люблю тебя!!!,2014,2,November,November,Sunday,weekend
353,2013-07-27 00:48:00,М+п. 35 172 68. Ишю молод спорт друга для всего,2013,27,July,July,Saturday,weekend
354,2014-08-15 23:45:00,Админу песня на свой вкус!) 0635689760,2014,15,August,August,Friday,weekday
355,2013-06-01 01:39:00,ПАРА ИЩЕТ ДРУЗЕЙ ПРИЕЗЖАЙТЕ В ГОСТИ0679657159,2013,1,June,June,Saturday,weekend
356,2012-09-07 23:46:00,Я П  ЕСТЬ ДЕВУШКИ-ПАРУС КОМУНАР КР КАМЕНЬ ? 0939949282,2012,7,September,September,Friday,weekday
357,2015-05-28 01:23:00,П 31 катаюсь по городу хочу Д/Ж приеду заберу 0675189385 перезвоню !,2015,28,May,May,Thursday,weekday
358,2014-08-26 22:47:00,Користувач svetik26 зажадав змінити аватару  але неправильно вказав номер аватара (7).,2014,26,August,August,Tuesday,weekday
359,2015-12-24 00:47:00,Адекватный парень познакомиться с девушкой для с\\о,2015,24,December,December,Thursday,weekday
360,2013-11-16 23:55:00,м50поцелую даме 45-55между не обижу 068 856 49 30,2013,16,November,November,Saturday,weekend
361,2016-09-03 23:18:00,Познакомлюсь с девушкой днепр и обл мне 28 .067 48 34 348,2016,3,September,September,Saturday,weekend
362,2015-11-30 00:48:00, ПАРЕНЬ ИЩЕТ ДЕВУШКУ ДЛЯ СЕР ОТНОШЕНИЯ МОЖНО РЕБЕНКОМ 0637914986 зап,2015,30,November,November,Monday,weekday
363,2013-04-10 23:31:00,. Ищу парня от 26-30 лет.80932528248,2013,10,April,April,Wednesday,weekday
364,2013-02-22 00:19:00,Лисичка ищет своего Лисенка до 25 лет. Номерочек в эфир с пометкой Лисе,2013,22,February,February,Friday,weekday
365,2012-08-21 23:32:00,7 Колька!Твой номер удален случайно набери меня. Дн-жинск0968440972,2012,21,August,August,Tuesday,weekday
366,2014-08-26 22:54:00,П27  скучаю  ищу дев20-27 для приятной и нежной ночи сегодня  есть авто  0990713740,2014,26,August,August,Tuesday,weekday
367,2012-06-17 23:51:00,п 30 л встреч с стройн кр дев из днепра для .... сейчас 0957819527,2012,17,June,June,Sunday,weekend
368,2012-08-28 23:25:00,ОЧ ОДИНОКИЙ П24г ИЩУ ДЕВ 28-36Л ДЛЯ ОБЩЕНИЯ И ОТНОШЕНИЙ 0988409176,2012,28,August,August,Tuesday,weekday
369,2013-07-23 00:15:00,П 26л Позн. С девушкой можно старше для не частых встреч 0979990989,2013,23,July,July,Tuesday,weekday
370,2012-12-11 00:52:00,Админ ты на преколи написать свой номер чтобы крикнули все.кусочек хлеба,2012,11,December,December,Tuesday,weekday
371,2015-10-23 00:17:00,МУЖ НУЖНА ЖЕН 35-55Л МОЖНА ПОЛНАЯ 066 86 99 276 ЗАДЕРЖИ,2015,23,October,October,Friday,weekday
372,2013-01-30 01:58:00,Желаю Сереге найти такие глаза взлянув в которые он увидет выигрыш))),2013,30,January,January,Wednesday,weekday
373,2013-07-28 23:32:00,у кого хотелка проснулась мужчины?Дама поддерживает,2013,28,July,July,Sunday,weekend
374,2014-02-06 01:33:00,ПРИВЕТ ДЕВОЧКИ!ЕСТЬ ЖЕЛАНИЕ ПООБЩАТЬСЯ ЗВОНИТЕ 0663265810 МАКСИМ,2014,6,February,February,Thursday,weekday
375,2013-07-09 01:00:00,Користувач Гіcть проголосував ЗА кліп Настя Задорожная — Любовь-нелюбовь. Код 105.,2013,9,July,July,Tuesday,weekday
376,2015-12-06 00:02:00,ИЩУ ДЕВ. ЖЕН МОЖНО  С РЕБЕНКОМ.СМС О СЕБЕ.  067-103-26-27 ЗАДЕРЖИ,2015,6,December,December,Sunday,weekend
377,2014-04-04 01:16:00,Юленька  сколько стоят и как купить бонусы?,2014,4,April,April,Friday,weekday
378,2013-06-20 01:08:00,Шукаю хлопця!! Олена  25 рокiв!,2013,20,June,June,Thursday,weekday
379,2014-05-15 23:47:00,М ПОЗ-ТСЯ С ДЕВУШКОЙ ЛЮБЯЩАЯ О/С.068 098 5868,2014,15,May,May,Thursday,weekday
380,2015-02-18 23:43:00,ищу такого  который умеет ценить искренние чувства. Надеюсь такие есть. Дана,2015,18,February,February,Wednesday,weekday
381,2013-05-05 01:21:00,мне 32 ищу красивую одинокую девушку!с.о. ммс,2013,5,May,May,Sunday,weekend
382,2012-01-31 00:58:00,7Хочу.познакомиться.с девчомкай.от 25-30 Я парень Мне27Лет 0937055099,2012,31,January,January,Tuesday,weekday
383,2016-08-24 23:51:00,МУЖ 50 ДЛЯ Ж И/О НЕЖ ЛАСКИ ПОЦЕЛУЮ.ДНЕПР УЛ-КОСИОРА 063 745 07 24,2016,24,August,August,Wednesday,weekday
384,2014-11-18 23:58:00,САНТЕХНИК!!! 29/178/80 АВАРИЙНЫЙ ВЫЗОВ КРУГЛОСУТОЧНО. 0987853564,2014,18,November,November,Tuesday,weekday
385,2013-09-05 01:29:00,Две девушки скучают  давайте обмен фото,2013,5,September,September,Thursday,weekday
386,2012-09-14 23:58:00,Ж-38 лет.Если вы НЕ озабоченный неудачник звоните.Только с/о.Кривым косым хромым ПЬЯНЫМ не звонить0933597765.,2012,14,September,September,Friday,weekday
387,2013-05-11 01:05:00,095.549.01.35.ВЗР ЧИСТОПЛ СТР Б/К М.Д/ВСЕГО ЧТО КЛАС ПРИЕМЛ.УДОВ.ЖЕЛ,2013,11,May,May,Saturday,weekend
388,2014-08-01 22:32:00,я все нормально мне дали 3 6 уже с ув. Ухо.,2014,1,August,August,Friday,weekday
389,2013-01-14 00:54:00,дев 22 познакомится с парнем  22-30 лет  для С/О,2013,14,January,January,Monday,weekday
390,2016-09-15 23:00:00,М 30 ИЩУ ДЕВУШКУ ДЛЯ ВСТРЕЧ МАТ.ПОМ 067.257.89.74,2016,15,September,September,Thursday,weekday
391,2014-10-27 00:04:00,Парни давайте познакомимся,2014,27,October,October,Monday,weekday
392,2013-09-26 23:42:00,П 30 ХОЛОСТЯК ПОЗНАК С МИЛОЙ ДЕВУШКОЙ.ДЛЯ С/О  ДНЕПРОДЫМ 0508674930,2013,26,September,September,Thursday,weekday
393,2013-07-06 23:37:00,уеду куда угодно где мой мужчина?,2013,6,July,July,Saturday,weekend
394,2014-03-17 00:14:00,ПАРЕНЬ ИЩЕТ ЛЮБОВНИЦУ.Дн-жинск. 063- 223-18-22.,2014,17,March,March,Monday,weekday
395,2015-09-17 23:51:00,. П 29 л рост 192 вес 110кг поз с дев для сер отн 0932249980,2015,17,September,September,Thursday,weekday
396,2012-06-21 01:58:00,ВЛАДА РОМА,2012,21,June,June,Thursday,weekday
397,2014-02-06 01:53:00,М 47 неглупый одинокий познакомлюсь для с/о,2014,6,February,February,Thursday,weekday
398,2012-11-29 00:12:00,"Бесит  что не умею говорить \нет\"" там  где стоило бы вообще сказать \""иди на....\"".""",2012,29,November,November,Thursday,weekday
399,2015-01-30 23:52:00,парень ищет не скромную девушку 063 410 6482,2015,30,January,January,Friday,weekday
400,2015-03-21 23:28:00,П29 ИЩУ ДЕВУШКУ ДО 55Л ДЛЯ ПОЦЕЛУЕВ И. О. 050 99 899 20 СМС,2015,21,March,March,Saturday,weekend
401,2013-09-11 01:36:00,Катюша  люблю тебя безумно!,2013,11,September,September,Wednesday,weekday
402,2014-03-12 00:54:00,Ищу простую добрую девушку для с/о Днепр мне 25,2014,12,March,March,Wednesday,weekday
403,2014-05-07 01:19:00,Парень 26 познак.с д/ж для дружбы.Вадим 0935397740 СМС ЖДУ!!,2014,7,May,May,Wednesday,weekday
404,2013-05-30 23:57:00,Користувач Гіcть проголосував ЗА кліп DCUP — WE_NO_SPEAK_AMERICANO. Код 020.,2013,30,May,May,Thursday,weekday
405,2012-01-16 00:23:00,М  Муж.38.186.стройн. Ищу Симп.ухоженную Женщ. Дн-жинск. 0639642652,2012,16,January,January,Monday,weekday
406,2014-07-15 00:46:00,Жека  а сможешь перезвонить ? Лана,2014,15,July,July,Tuesday,weekday
407,2012-11-04 01:04:00,вот так всегда и девушки должны предлагать аяяй.....,2012,4,November,November,Sunday,weekend
408,2014-04-15 23:54:00,Фикса+Катя Котичек как ты где?ОЧЕНЬ ОЧЕНЬ ЛЮБЛЮ ТЕБЯ СКУЧАЮ И ЖДУ,2014,15,April,April,Tuesday,weekday
409,2015-02-03 01:54:00,обеспечен м ищу крас д для встреч.горячих.не обижу ничем,2015,3,February,February,Tuesday,weekday
410,2014-04-22 00:05:00,М37 ищет девушку для встречь из Новомосковска.мат.помощь0684054262,2014,22,April,April,Tuesday,weekday
411,2015-09-03 23:27:00,девченки звоните мне 32 зовут РУСЛАМ. Буду рад знакомству для с.(о. 0978765008,2015,3,September,September,Thursday,weekday
412,2017-01-18 00:11:00,ИЩУ ПАРНЯ ДЛЯ С.О И С.С ДО 30! С МЛС-НЕТ 0968677819,2017,18,January,January,Wednesday,weekday
413,2013-08-29 00:48:00,М+М ОТ 35 ДО 55 ЗВОНКИ ММС 066 265 21 20,2013,29,August,August,Thursday,weekday
414,2015-05-13 23:09:00,познакомлюсь с девушкой 18-19 0636644076 смс,2015,13,May,May,Wednesday,weekday
